排名,准确率,模型数,模型组合,权重
1,0.9007,7,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data42686_acc86.3903_loss0.0338_2026_05_03_20_19_06 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17,"+0.2484, +0.2258, +0.2024, +0.0462, +0.1180, +0.1025, +0.0567"
2,0.9004,10,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data17917_acc84.0960_loss0.0437_2026_05_02_13_46_34 + best_model_acc_data17917_acc85.1004_loss0.0404_2026_05_02_13_44_59 + best_model_acc_data42686_acc86.3903_loss0.0338_2026_05_03_20_19_06 + best_model_acc_data87652_acc87.5998_loss0.0323_2026_05_02_11_08_17 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17,"+0.2443, +0.2118, +0.0141, +0.0798, +0.1591, +0.0355, +0.0345, +0.0996, +0.0852, +0.0359"
3,0.9004,9,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data17917_acc84.0960_loss0.0437_2026_05_02_13_46_34 + best_model_acc_data17917_acc85.1004_loss0.0404_2026_05_02_13_44_59 + best_model_acc_data42686_acc86.3903_loss0.0338_2026_05_03_20_19_06 + best_model_acc_data87652_acc87.5998_loss0.0323_2026_05_02_11_08_17 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15,"+0.2435, +0.2112, +0.0123, +0.0815, +0.1585, +0.0390, +0.0674, +0.1005, +0.0860"
4,0.9004,9,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data17917_acc85.1004_loss0.0404_2026_05_02_13_44_59 + best_model_acc_data42686_acc86.3903_loss0.0338_2026_05_03_20_19_06 + best_model_acc_data87652_acc87.5998_loss0.0323_2026_05_02_11_08_17 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17,"+0.2439, +0.2110, +0.0857, +0.1610, +0.0368, +0.0375, +0.1018, +0.0873, +0.0349"
5,0.9003,7,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data17917_acc84.0960_loss0.0437_2026_05_02_13_46_34 + best_model_acc_data42686_acc86.3903_loss0.0338_2026_05_03_20_19_06 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15,"+0.2481, +0.2255, +0.0514, +0.1782, +0.0833, +0.1142, +0.0993"
6,0.9003,8,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data17917_acc84.0960_loss0.0437_2026_05_02_13_46_34 + best_model_acc_data42686_acc86.3903_loss0.0338_2026_05_03_20_19_06 + best_model_acc_data42686_acc86.8822_loss0.0337_2026_05_03_20_10_00 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15,"+0.2312, +0.2131, +0.0374, +0.1401, +0.0849, +0.0802, +0.1130, +0.1001"
7,0.9002,6,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data42686_acc86.3903_loss0.0338_2026_05_03_20_19_06 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15,"+0.2509, +0.2279, +0.2007, +0.0929, +0.1217, +0.1059"
8,0.9002,7,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data17917_acc85.1004_loss0.0404_2026_05_02_13_44_59 + best_model_acc_data42686_acc86.3903_loss0.0338_2026_05_03_20_19_06 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15,"+0.2484, +0.2194, +0.0825, +0.1629, +0.0841, +0.1085, +0.0941"
9,0.9002,7,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data42686_acc86.3903_loss0.0338_2026_05_03_20_19_06 + best_model_acc_data42686_acc86.8822_loss0.0337_2026_05_03_20_10_00 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15,"+0.2308, +0.2140, +0.1512, +0.0961, +0.0860, +0.1174, +0.1044"
10,0.9002,8,best_model_acc_data120364_acc88.2197_loss0.0293_2026_05_03_20_51_11 + best_model_acc_data120364_acc88.2861_loss0.0295_2026_05_03_20_39_42 + best_model_acc_data17917_acc85.1004_loss0.0404_2026_05_02_13_44_59 + best_model_acc_data42686_acc86.3903_loss0.0338_2026_05_03_20_19_06 + best_model_acc_data87652_acc87.5998_loss0.0323_2026_05_02_11_08_17 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15,"+0.2417, +0.2132, +0.0823, +0.1654, +0.0398, +0.0689, +0.1010, +0.0877"
