名字                            HP    ATK    DEF  M R    范围    间隔 类型   来源    特性
------------------------------------------------------------------------------------------------------------------------
“大斧”                       18000   1500    800   30   0.8   2.0 物理   推断    最大的斧头，最初的恐怖，最纯粹的压迫感。
“门”                        50000   1000    300   10   0.8   2.0 物理   推断    如果一扇被门关上了，一定会有另一扇被门打开，就是指不定开在什么地方。
虹吸巨刃                       14000    700    220   60   0.8   2.0 法术   推断    他们模糊的意识中只剩一句命令：“不许倒下！”
自爆冰虫                        3250    300      0    0   0.8   2.0 物理   Wiki  死亡冰爆:200%物伤+10s寒冷半径1.65
苦难的具象                      15000   2625    230   30   0.8   1.3 物理   推断    他已然成为源石的傀儡，他不被允许生存。
大喷蛛                        15000    600    300    0   3.0   2.0 物理   Wiki  每5秒召唤畸变赘生物;死亡召唤4只
假酒海盗                       10500   1000    500   20   0.8   2.0 物理   Wiki  酒桶:280%物伤+酒区域(友方+100攻速+80%闪避)
高敏感积藏者                      8000    190    150   35   2.8   2.0 物理   Wiki  半血分裂
“染血之盾”                      5000   1000   5000   90   0.8   2.0 物理   推断    为照顾部分观众，盾上的图案一律只能用颜料绘制。
巧克力流心虫虫                     1200     50      0    0   2.8   2.0 法术   推断    灼燃
机鳄战甲                        9500    750    700   10   0.8   2.0 物理   推断    整个村子里最能砍树的选手。
扩音术师                        7000    600    160   65   3.2   7.0 法术   推断    面具内置扩音器能使声音被更多人听到，这不是理所当然的吗。
狂躁觅食兽                      25000    600     20    0   0.8   2.0 物理   Wiki  加速:每0.33s+33.3%移速;撞击伤害;冲锋秒杀
扎人的石头                      25000    400    300   10   0.8   4.0 法术   推断    反伤
保鲜膜骑士                       2800    300    100    0   0.8   2.0 物理   Wiki  呼啸守卫轻型盔甲，以柔克刚，刀枪不入！有效时间不保证。
无德决斗家                      17000    600    500   60   1.0   2.0 法术   Wiki  SP:150%法伤+缴械15s
“火与钢”                      57500    800    650   60   0.8   2.0 法术   推断    你知道他的刀刃燃起火焰意味着什么。
榴弹佣兵                        3200    500     50   40   1.0   2.0 物理   Wiki  他们跑那么快难道是为了追上发射出去的榴弹？
拳击宗师                        4000    320    250   50   0.8   2.0 物理   Wiki  业余救生员经过训练成为拳击宗师，会以诡异的步伐躲避攻击。
小寄居蟹                        6000    330    200   10   0.8   2.0 物理   推断    发现猎物后会停在原地一直吐口水。
点灯骑士                        7500    350    300   60   3.2   5.0 法术   Wiki  微光之触:蓄力7s→250%法术AOE
冰手术师                        5000    250    200   50   3.2   4.5 法术   推断    他那双冰冷的手是想伸到谁的领子里？多伸几次会冻死人的！
“铜舌”                       15000   1200    700   20   0.8   2.0 物理   推断    那枚铜币根本不值得你去挨它那一舌头。
变异食肉植物                     13000     10    250   10   1.0   2.0 物理   Wiki  吞噬:秒杀1.0范围内敌人
最普通的鼷                       2000    340      0    0   0.8   2.0 物理   Wiki  前面的定语的深层意思是：它们真的到处都是！
“配重投石机”                    75000   1500    600    0   3.2   3.5 物理   推断    没错，只有自己足够重才能投得更远。
畸变之矛                        4000   1000   2000   80   0.8   2.0 物理   推断    小心那刺破天际的矛头。
“自在”                       40000    600    800   55   0.8   2.0 物理   推断    你总怀疑画里的都是假的，但它打得你很痛是真的。
过气水手                       10000    800    800   20   0.8   2.0 物理   Wiki  晕眩击:每4击晕眩7s
安逸的驮兽                      65000   1800     50   50   0.8   2.0 物理   Wiki  赢了也好，输了也罢——这样的性格怎么能赢，我可是送了礼物的！
易爆源石虫                       2460    260      0    0   0.8   2.0 物理   Wiki  死亡自爆:400%物伤半径1.25
星星魔法师                       7000    380    250   50   4.5   3.0 法术   Wiki  对着它们许愿没什么用，它们只能给你好梦一场，好像也不赖。
清醒的墨魉                       3000    290    120   10   0.8   2.0 物理   推断    虽然已经戒酒，但仍然顽皮贪吃，毕竟只是墨魉而已。
高普尼克                       30000   2000    200   50   0.8   2.0 物理   Wiki  晕眩冻结浮空抗性
失业萨克斯手                     17500    800    650   20   0.8   2.0 物理   Wiki  宣泄怨气:四方150%物伤
巨大雪球投手                     10000    800    700   20   1.0   2.0 物理   Wiki  郑重承诺：本场战斗不率先使用冷兵器。
杰斯顿·威廉姆斯                   25000    700    400   20   0.8   2.0 物理   Wiki  二阶段:露出真面目
“庞贝”                       40000    230    220   70   0.8   2.0 物理   推断    巨大的源石虫，不论在它周围还是保持一定距离都不安全。
砸人的石头                      50000   4500    700   30   0.8   7.0 物理   推断    行走的巨石堆，挥拳慢不是因为真的慢，而是因为它在深思熟虑。
迫击炮弹投手                      5000    550    150    0   7.0   4.5 物理   推断    有时候，他真的很希望自己抛射的不是炮弹，而是卷心菜。
狗Pro                        3000    370      0   20   0.8   2.0 物理   Wiki  没人知道它为何变得如此狂暴，咬人又快又痛。
流鼻涕虫虫                       2780    290      0    0   0.8   2.0 物理   推断    努力地向敌人喷出腐蚀性的鼻涕，呕。
迷茫的合声                      60000    300      0    0   8.0   2.0 物理   Wiki  超大范围
橡胶弹狙击手                      3500    300    100   10   3.8   2.0 物理   Wiki  嘲讽-1; 每3击晕眩5s
奎隆，摩诃萨埵权化                 300000   3500   1200   70   0.8   6.0 物理   Wiki  惩五戒:5连击90%物伤
度假区越野车                     15000    750    500   10   0.8   2.0 物理   Wiki  载客3:搭载非领袖地面友军
神射机甲                       25000   1200   1000   20   0.8   2.0 物理   Wiki  打4目标,50%攻击力
神拳机甲                       25000   1600   1000   20   0.8   2.0 物理   Wiki  超负载神拳:锁定目标10秒连击+晕眩
止戈者                        10000   1500    500   30   0.8   2.0 物理   Wiki  出场4断刃,每刀+70%攻击,耗尽多砍一刀
易爆种子                        1200   1750      0    0   0.8   2.0 物理   Wiki  攻击后自爆
匪帮欢乐船                      18000   1300    700    0   0.8   2.0 物理   Wiki  嘲讽+1; 接触伤害100%物伤; 死亡召唤过气水手
“情绪失控”                     16000   1100    600   25   0.8   2.0 物理   推断    心理治疗师们都很困惑，它们的暴脾气究竟是从哪儿来的。
“睡眠不足”                      8000    500    100   60   0.8   2.0 物理   推断    主办方安排的医疗团队怎么也治不好它们的失眠。
龙卷风忍者                      12000    750    350    0   0.8   2.0 物理   Wiki  漩涡:持续旋转,AOE 120%物伤
极饿先锋                       25000   1050      0   20   0.8   2.0 物理   Wiki  吞噬:强制击杀1名高仇恨敌人,+700防
