名字                         HP    ATK    DEF   MR    范围    间隔 类型   来源
--------------------------------------------------------------------------------
“大斧”                    18000   1500    800   30   0.8   2.0 物理   推断
“门”                     50000   1000    300   10   0.8   2.0 物理   推断
虹吸巨刃                    14000    700    220   60   0.8   2.0 物理   Wiki
自爆冰虫                     3250    300      0    0   0.8   2.0 物理   Wiki
苦难的具象                   30000   1750    230   30   0.8   1.3 物理   推断
大喷蛛                     15000    600    300    0   3.0   3.0 物理   Wiki
假酒海盗                    10500   1000    500   20   0.8   2.0 物理   Wiki
高敏感积藏者                   8000    190    150   35   2.8   2.0 物理   Wiki
“染血之盾”                   5000   1000   5000   90   0.8   2.0 物理   推断
巧克力流心虫虫                  1200     50      0    0   2.8   2.0 法术   推断
机鳄战甲                     9500    750    700   10   0.8   2.0 物理   Wiki
扩音术师                     7000    600    160   65   3.2   7.0 法术   推断
狂躁觅食兽                   25000    600     20    0   0.8   2.0 物理   Wiki
扎人的石头                   25000    400    300   10   0.8   4.0 法术   推断
保鲜膜骑士                    2800    300    100    0   0.8   2.0 物理   推断
无德决斗家                   17000    600    500   60   1.0   2.0 法术   Wiki
“火与钢”                   57500    800    650   60   0.8   2.0 法术   推断
榴弹佣兵                     3200    500     50   40   1.0   2.0 物理   Wiki
拳击宗师                     4000    320    250   50   0.8   2.0 物理   推断
小寄居蟹                     6000    330    200   10   0.8   2.0 物理   推断
点灯骑士                     7500    350    300   60   3.2   5.0 法术   Wiki
冰手术师                     5000    250    200   50   3.2   4.5 法术   推断
“铜舌”                    15000   1200    700   20   0.8   2.0 物理   推断
变异食肉植物                  13000      0    250   10   1.0   2.0 物理   Wiki
最普通的鼷                    2000    340      0    0   0.8   2.0 物理   Wiki
“配重投石机”                 75000   1500    600    0   3.2   3.5 物理   推断
畸变之矛                     4000   1000   2000   80   0.8   2.0 物理   Wiki
“自在”                    40000    600    800   55   0.8   2.0 物理   推断
过气水手                    10000    800    800   20   0.8   2.0 物理   Wiki
安逸的驮兽                   65000   1800     50   50   0.8   2.0 物理   Wiki
易爆源石虫                    2460    260      0    0   0.8   2.0 物理   Wiki
星星魔法师                    7000    380    250   50   4.5   3.0 法术   Wiki
清醒的墨魉                    3000    290    120   10   0.8   2.0 物理   Wiki
高普尼克                    30000   2000    200   50   0.8   2.0 物理   Wiki
失业萨克斯手                  17500    800    650   20   0.8   2.0 物理   Wiki
巨大雪球投手                  10000    800    700   20   1.0   2.0 物理   Wiki
杰斯顿·威廉姆斯                25000    700    400   20   0.8   2.0 物理   推断
“庞贝”                    40000    230    220   70   0.8   2.0 物理   推断
砸人的石头                  100000   3000    700   30   0.8   7.0 物理   推断
迫击炮弹投手                   5000    550    150    0   7.0   4.5 物理   推断
狗Pro                     3000    370      0   20   0.8   2.0 物理   推断
流鼻涕虫虫                    2780    290      0    0   2.8   3.3 物理   推断
迷茫的合声                   60000    300      0    0   8.0   2.0 物理   Wiki
橡胶弹狙击手                   3500    300    100   10   3.8   2.0 物理   Wiki
奎隆，摩诃萨埵权化              300000   3500   1200   70   0.8   6.0 物理   Wiki
度假区越野车                  15000    750    500   10   0.8   2.0 物理   Wiki
神射机甲                    25000   1200   1000   20   0.8   2.0 物理   Wiki
神拳机甲                    25000   1600   1000   20   0.8   2.0 物理   Wiki
止戈者                     10000   1500    500   30   0.8   2.0 物理   Wiki
易爆种子                     1200   1750      0    0   0.8   2.0 物理   Wiki
匪帮欢乐船                   18000   1300    700    0   0.8   2.0 物理   Wiki
“情绪失控”                  16000   1100    600   25   0.8   2.0 物理   推断
“睡眠不足”                   8000    500    100   60   0.8   2.0 物理   推断
龙卷风忍者                    1000    100      0    0   0.8   2.0 物理   Wiki
极饿先锋                    25000   1050      0   20   0.8   2.0 物理   Wiki
群集之瘴                    10000    750    200   30   0.9   2.0 物理   Wiki
并驾骑士                    70000   1500   1000   30   0.8   2.0 物理   推断
侠客三人行                   38000    700    300   35   0.8   2.0 物理   推断
“萨米的意志”                100000    800    800   40   0.8   2.0 物理   推断
岁相                     130000   1200    550   30   3.5   3.3 物理   Wiki
普通的萨卡兹                   3750    900    230   50   0.8   2.0 物理   推断
源石的腿脚                    5500    975    200   30   0.8   2.0 物理   推断
“火苗与软钢”                  9000    720    230   50   0.8   2.3 物理   推断
锁链拳手                     4000    450    300    0   0.8   2.0 物理   推断
衣架射手                     1000    100      0    0   3.2   3.5 物理   推断
劈柴骑士                     6500    975    800    0   0.8   2.0 物理   推断
奔跑吧！躯壳！                  1000    100      0    0   0.8   2.0 物理   推断
硕鼷                       1000    100      0    0   0.8   2.0 物理   Wiki
超级洗地机                    1000    100      0    0   0.8   2.0 物理   Wiki
依然“狼之主”                  1000    100      0    0   0.8   2.0 物理   推断
蟹蟹爷爷                     8500   1950   2500   90   0.8   2.0 物理   推断
标枪恐鱼                     1000    100      0    0   1.0   2.0 物理   Wiki
食腐野兽                     1000    100      0    0   0.8   2.0 物理   Wiki
调停的意志                    1000    100      0    0   0.8   2.0 物理   推断
“食器时代”                   1000    100      0    0   0.8   2.0 物理   推断
速胜卫士                     1000    100      0    0   0.8   2.0 物理   Wiki
“交通亭”量产型                 1000    100      0    0   0.8   2.0 物理   推断
圣徒卡门                     1000    100      0    0   0.8   2.0 物理   推断
